Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Bank,Chrome 113.0.0.0,,,2023-06-02 12:05:16,2023-06-02 12:07:02,1m - 45.680s,PASSED
,,,,,,,
Test Cases/Q1,Chrome 113.0.0.0,,,2023-06-02 12:05:16,2023-06-02 12:06:18,1m - 1.945s,PASSED
"openBrowser(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/"")",Chrome 113.0.0.0,,,2023-06-02 12:05:17,2023-06-02 12:05:23,6.411s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-06-02 12:05:23,2023-06-02 12:05:23,0.182s,PASSED
"testData = [[""Christopher"", ""Connely"", ""L789C349""], [""Frank"", ""Christopher"", ""A897N450""], [""Christopher"", ""Minka"", ""M098Q585""], [""Connely"", ""Jackson"", ""L789C349""], [""Jackson"", ""Frank"", ""L789C349""], [""Minka"", ""Jackson"", ""A897N450""], [""Jackson"", ""Connely"", ""L789C349""]]",Chrome 113.0.0.0,,,2023-06-02 12:05:23,2023-06-02 12:05:23,0.001s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Bank Manager Login""))",Chrome 113.0.0.0,,,2023-06-02 12:05:23,2023-06-02 12:05:24,0.971s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/Page_XYZ Bank/button_Add Customer""))",Chrome 113.0.0.0,,,2023-06-02 12:05:24,2023-06-02 12:05:25,0.851s,PASSED
testData.each({ java.lang.Object data -> ... }),Chrome 113.0.0.0,,,2023-06-02 12:05:25,2023-06-02 12:05:56,31.174s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Customers""))",Chrome 113.0.0.0,,,2023-06-02 12:05:56,2023-06-02 12:05:57,0.178s,PASSED
allDataInserted = true,Chrome 113.0.0.0,,,2023-06-02 12:05:57,2023-06-02 12:05:57,0.001s,PASSED
testData.each({ java.lang.Object data -> ... }),Chrome 113.0.0.0,,,2023-06-02 12:05:57,2023-06-02 12:06:13,16.739s,PASSED
if (allDataInserted),Chrome 113.0.0.0,,,2023-06-02 12:06:13,2023-06-02 12:06:13,0.001s,PASSED
"deletedata = [[""Christopher"", ""Connely"", ""L789C349""], [""Jackson"", ""Frank"", ""L789C349""]]",Chrome 113.0.0.0,,,2023-06-02 12:06:13,2023-06-02 12:06:13,0.000s,PASSED
allDataDeleted = true,Chrome 113.0.0.0,,,2023-06-02 12:06:13,2023-06-02 12:06:13,0.001s,PASSED
deletedata.each({ java.lang.Object data -> ... }),Chrome 113.0.0.0,,,2023-06-02 12:06:13,2023-06-02 12:06:18,5.024s,PASSED
if (allDataDeleted),Chrome 113.0.0.0,,,2023-06-02 12:06:18,2023-06-02 12:06:18,0.004s,PASSED
,,,,,,,
Test Cases/Q2,Chrome 113.0.0.0,,,2023-06-02 12:06:18,2023-06-02 12:06:46,27.095s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-06-02 12:06:19,2023-06-02 12:06:21,2.536s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/"")",Chrome 113.0.0.0,,,2023-06-02 12:06:21,2023-06-02 12:06:22,1.010s,PASSED
"click(findTestObject(""Object Repository/Q2/Page_XYZ Bank/Page_XYZ Bank/Page_XYZ Bank/button_Customer Login""))",Chrome 113.0.0.0,,,2023-06-02 12:06:22,2023-06-02 12:06:23,1.101s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Q2/Page_XYZ Bank/Page_XYZ Bank/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""1"", true)",Chrome 113.0.0.0,,,2023-06-02 12:06:23,2023-06-02 12:06:25,1.514s,PASSED
"click(findTestObject(""Object Repository/Q2/Page_XYZ Bank/Page_XYZ Bank/Page_XYZ Bank/button_Login""))",Chrome 113.0.0.0,,,2023-06-02 12:06:25,2023-06-02 12:06:25,0.438s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Q2/Page_XYZ Bank/Page_XYZ Bank/Page_XYZ Bank/select_100110021003""), ""number:1003"", true)",Chrome 113.0.0.0,,,2023-06-02 12:06:25,2023-06-02 12:06:27,1.498s,PASSED
"INITIALBALANCE = getText(findTestObject(""Object Repository/Q2/Page_XYZ Bank/Page_XYZ Bank/strong_0""), STOP_ON_FAILURE).toInteger()",Chrome 113.0.0.0,,,2023-06-02 12:06:27,2023-06-02 12:06:27,0.514s,PASSED
"transactions = [50000, -3000, -2000, 5000, -10000, -15000, 1500]",Chrome 113.0.0.0,,,2023-06-02 12:06:27,2023-06-02 12:06:27,0.001s,PASSED
CURRENTBALANCE = INITIALBALANCE,Chrome 113.0.0.0,,,2023-06-02 12:06:27,2023-06-02 12:06:27,0.001s,PASSED
for (def transactionAmount : transactions),Chrome 113.0.0.0,,,2023-06-02 12:06:27,2023-06-02 12:06:45,17.479s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-06-02 12:06:45,2023-06-02 12:06:46,0.827s,PASSED
,,,,,,,
Test Cases/Q3,Chrome 113.0.0.0,,,2023-06-02 12:06:46,2023-06-02 12:07:02,16.212s,PASSED
"createNewUserRequest = findTestObject(""Create New User"")",Chrome 113.0.0.0,,,2023-06-02 12:06:46,2023-06-02 12:06:46,0.074s,PASSED
createNewUserResponse = sendRequest(createNewUserRequest),Chrome 113.0.0.0,,,2023-06-02 12:06:46,2023-06-02 12:06:51,4.628s,PASSED
"verifyResponseStatusCode(createNewUserResponse, 200)",Chrome 113.0.0.0,,,2023-06-02 12:06:51,2023-06-02 12:06:51,0.028s,PASSED
slurper = new groovy.json.JsonSlurper(),Chrome 113.0.0.0,,,2023-06-02 12:06:51,2023-06-02 12:06:51,0.010s,PASSED
createNewUserJson = slurper.parseText(createNewUserResponse.getResponseBodyContent()),Chrome 113.0.0.0,,,2023-06-02 12:06:51,2023-06-02 12:06:51,0.025s,PASSED
username1 = username,Chrome 113.0.0.0,,,2023-06-02 12:06:51,2023-06-02 12:06:51,0.010s,PASSED
println(username1),Chrome 113.0.0.0,,,2023-06-02 12:06:51,2023-06-02 12:06:51,0.001s,PASSED
